Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate
68,CIN,1981,1981-09-27,01:00:00 AM,01:00:00 AM,,BUF,4,4,Sun,W 27-24,OT,27,24,3,51,28,40,70,316,3,0,3,12,119.6
69,CIN,1982,1982-12-05,04:00:00 AM,04:00:00 AM,@,BAL,13,5,Sun,W 20-17,,20,17,3,37,22,29,75.9,184,3,0,3,22,129.4
70,CIN,1990,1990-10-07,04:00:00 AM,01:00:00 AM,@,RAM,5,5,Sun,W 34-31,OT,34,31,3,65,31,45,68.9,483,3,0,1,7,127.1
71,CIN,1992,1992-11-08,08:00:00 AM,07:00:00 AM,@,CHI,10,9,Sun,W 31-28,OT,31,28,3,59,16,29,55.2,140,3,1,3,32,92.9
72,CIN,2013,2013-10-13,01:02:00 AM,01:02:00 AM,@,BUF,6,6,Sun,W 27-24,OT,27,24,3,51,26,40,65,318,3,1,3,19,105.9
73,CIN,2013,2013-10-20,01:02:00 AM,01:02:00 AM,@,DET,7,7,Sun,W 27-24,,27,24,3,51,24,34,70.6,364,3,0,1,8,135.9
74,CIN,2017,2017-11-19,04:25:00 AM,02:25:00 AM,@,DEN,11,10,Sun,W 20-17,,20,17,3,37,15,25,60,141,3,0,2,13,117.3
75,CLE,1977,1977-09-26,09:00:00 AM,09:00:00 AM,,NWE,2,2,Mon,W 30-27,OT,30,27,3,57,19,27,70.4,195,3,2,2,9,98.4
76,CLE,1979,1979-09-09,04:00:00 AM,03:00:00 AM,@,KAN,2,2,Sun,W 27-24,,27,24,3,51,19,35,54.3,238,3,1,1,5,92.9
77,CLE,1980,1980-12-21,01:00:00 AM,01:00:00 AM,@,CIN,16,16,Sun,W 27-24,,27,24,3,51,24,44,54.5,256,3,2,6,52,80.5
78,CLE,1988,1988-12-04,01:00:00 AM,01:00:00 AM,,DAL,14,14,Sun,W 24-21,,24,21,3,45,19,27,70.4,275,3,0,5,33,145.3
79,CLE,2001,2001-12-30,01:03:00 AM,12:03:00 PM,@,TEN,16,15,Sun,W 41-38,,41,38,3,79,20,27,74.1,322,3,1,3,14,137.3
80,CLE,2002,2002-09-22,01:03:00 AM,12:03:00 PM,@,TEN,3,3,Sun,W 31-28,OT,31,28,3,59,36,50,72,311,3,1,3,15,100.9
81,CLE,2006,2006-10-01,04:15:00 AM,01:15:00 AM,@,OAK,4,4,Sun,W 24-21,,24,21,3,45,22,32,68.8,179,3,2,2,13,89.6
82,CLE,2006,2006-12-03,01:03:00 AM,01:03:00 AM,,KAN,13,12,Sun,W 31-28,OT,31,28,3,59,23,34,67.6,288,3,1,1,5,111.5
83,IND,1995,1995-10-08,04:00:00 AM,04:00:00 AM,@,MIA,6,5,Sun,W 27-24,OT,27,24,3,51,25,33,75.8,310,3,0,2,9,135.8
84,IND,2002,2002-09-08,01:04:00 AM,01:04:00 AM,@,JAX,1,1,Sun,W 28-25,,28,25,3,53,19,31,61.3,203,3,0,1,8,113.8
85,IND,2006,2006-10-29,04:15:00 AM,02:15:00 AM,@,DEN,8,7,Sun,W 34-31,,34,31,3,65,32,39,82.1,345,3,0,0,0,129.2
86,IND,2013,2013-11-03,08:30:00 AM,07:30:00 AM,@,HOU,9,8,Sun,W 27-24,,27,24,3,51,18,40,45,245,3,0,4,26,92.8
87,IND,2018,2018-11-11,01:00:00 AM,01:00:00 AM,,JAX,10,9,Sun,W 29-26,,29,26,3,55,21,29,72.4,285,3,1,0,0,123.5
88,IND,2018,2018-11-25,04:25:00 AM,01:00:00 AM,,MIA,12,11,Sun,W 27-24,,27,24,3,51,31,38,81.6,337,3,2,1,10,109.1
89,IND,2020,2020-11-22,04:25:00 AM,04:25:00 AM,,GNB,11,10,Sun,W 34-31,OT,34,31,3,65,24,36,66.7,280,3,1,1,8,107.2
90,STL,1976,1976-10-31,02:00:00 AM,01:00:00 AM,,SFO,8,8,Sun,W 23-20,OT,23,20,3,43,16,31,51.6,225,3,1,4,46,100.3
91,STL,1987,1987-11-08,01:00:00 AM,12:00:00 PM,,TAM,9,8,Sun,W 31-28,,31,28,3,59,25,36,69.4,278,3,1,4,36,112.5
92,PHO,1993,1993-12-19,04:00:00 AM,01:00:00 AM,@,SEA,16,14,Sun,W 30-27,OT,30,27,3,57,34,53,64.2,405,3,2,3,26,92.6
93,ARI,1996,1996-11-10,01:00:00 AM,01:00:00 AM,@,WAS,11,10,Sun,W 37-34,OT,37,34,3,71,35,59,59.3,507,3,4,2,15,77.1
94,ARI,1997,1997-12-21,04:00:00 AM,02:00:00 AM,,ATL,17,16,Sun,W 29-26,,29,26,3,55,19,39,48.7,231,3,2,2,6,72.3
95,ARI,2007,2007-12-23,04:05:00 AM,02:05:00 AM,,ATL,16,15,Sun,W 30-27,OT,30,27,3,57,35,52,67.3,369,3,0,0,0,107
96,ARI,2012,2012-09-30,04:05:00 AM,01:05:00 AM,,MIA,4,4,Sun,W 24-21,OT,24,21,3,45,29,48,60.4,269,3,2,8,55,84
97,ARI,2020,2020-10-25,08:20:00 AM,06:20:00 AM,,SEA,7,7,Sun,W 37-34,OT,37,34,3,71,34,48,70.8,360,3,1,0,0,104.5
98,DAL,1975,1975-11-16,01:00:00 AM,01:00:00 AM,@,NWE,9,9,Sun,W 34-31,,34,31,3,65,11,20,55,165,3,0,5,33,128.7
99,DAL,1976,1976-09-26,04:00:00 AM,03:00:00 AM,,BAL,3,3,Sun,W 30-27,,30,27,3,57,23,29,79.3,365,3,0,2,13,153.2
100,DAL,1978,1978-10-15,02:00:00 AM,01:00:00 AM,@,STL,7,7,Sun,W 24-21,OT,24,21,3,45,23,41,56.1,287,3,2,1,2,82.3
101,DAL,1990,1990-11-18,04:00:00 AM,01:00:00 AM,@,RAM,11,11,Sun,W 24-21,,24,21,3,45,17,32,53.1,295,3,1,1,8,104
102,DAL,2005,2005-12-11,04:15:00 AM,03:15:00 AM,,KAN,14,13,Sun,W 31-28,,31,28,3,59,22,34,64.7,316,3,0,4,16,126.1
103,DAL,2011,2011-09-18,04:05:00 AM,01:05:00 AM,@,SFO,2,2,Sun,W 27-24,OT,27,24,3,51,26,43,60.5,427,3,2,1,5,98.2
104,DAL,2011,2011-11-20,01:03:00 AM,01:03:00 AM,@,WAS,11,10,Sun,W 27-24,OT,27,24,3,51,23,37,62.2,264,3,0,4,28,113.8
105,DAL,2020,2020-11-22,04:25:00 AM,06:25:00 AM,@,MIN,11,10,Sun,W 31-28,,31,28,3,59,22,32,68.8,196,3,1,1,7,104
106,DEN,1979,1979-09-23,04:00:00 AM,02:00:00 AM,,SEA,4,4,Sun,W 37-34,,37,34,3,71,17,27,63,254,3,2,3,26,103.9
107,DEN,1990,1990-09-23,04:00:00 AM,02:00:00 AM,,SEA,3,3,Sun,W 34-31,OT,34,31,3,65,30,40,75,281,3,0,2,16,120.5
108,DEN,2007,2007-10-21,08:23:00 AM,06:23:00 AM,,PIT,7,6,Sun,W 31-28,,31,28,3,59,22,29,75.9,234,3,2,2,14,106.7
109,DEN,2018,2018-09-09,04:25:00 AM,02:25:00 AM,,SEA,1,1,Sun,W 27-24,,27,24,3,51,25,39,64.1,324,3,3,1,5,84.2
110,DET,1984,1984-11-22,12:30:00 PM,12:30:00 PM,,GNB,13,13,Thu,W 31-28,,31,28,3,59,25,34,73.5,353,3,1,0,0,123.8
111,DET,1994,1994-09-04,01:00:00 AM,01:00:00 AM,,ATL,1,1,Sun,W 31-28,OT,31,28,3,59,16,31,51.6,203,3,1,0,0,91.2
112,DET,2020,2020-11-15,01:00:00 AM,01:00:00 AM,,WAS,10,9,Sun,W 30-27,,30,27,3,57,24,33,72.7,267,3,0,1,9,127.8
113,GNB,1990,1990-09-30,01:00:00 AM,01:00:00 AM,@,DET,4,4,Sun,W 24-21,,24,21,3,45,28,46,60.9,269,3,0,4,20,100.7
114,GNB,1990,1990-11-18,04:00:00 AM,02:00:00 AM,@,PHO,11,10,Sun,W 24-21,,24,21,3,45,20,34,58.8,250,3,2,3,17,88.7
115,GNB,1995,1995-09-11,09:00:00 AM,08:00:00 AM,@,CHI,2,2,Mon,W 27-24,,27,24,3,51,21,38,55.3,306,3,1,2,6,97.7
116,GNB,2003,2003-11-02,08:35:00 AM,07:35:00 AM,@,MIN,9,8,Sun,W 30-27,,30,27,3,57,18,28,64.3,190,3,1,1,4,105.4
117,GNB,2004,2004-12-24,03:00:00 AM,02:00:00 AM,@,MIN,16,15,Fri,W 34-31,,34,31,3,65,30,43,69.8,358,3,1,1,7,109.2
118,GNB,2014,2014-10-12,01:02:00 AM,01:02:00 AM,@,MIA,6,6,Sun,W 27-24,,27,24,3,51,24,42,57.1,248,3,0,3,16,99.7
